Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,28.940862
1,CPU Time,228.990655
1,Memory Bound,8.7
2,L1 Bound,3.5
2,L2 Bound,2.5
2,L3 Bound,2.4
2,DRAM Bound,1.0
3,DRAM Bandwidth Bound,1.0
2,Store Bound,0.2
1,Loads,1214138823072
1,Stores,57748132392
1,LLC Miss Count,50403528
1,Average Latency (cycles),8.348035
1,Total Thread Count,20
1,Paused Time,0.0
0,Bandwidth Utilization,
0,Bandwidth Domain,Platform Maximum,Observed Maximum,Average,% of Elapsed Time with High BW Utilization(%)
0,"DRAM, GB/sec",41.000000,33.000000,4.922452,1.0
0,Collection and Platform Info,
1,Application Command Line,/tmp/CAKE_on_CPU/experiments/intel/Fig-10/cake_sgemm_test "10" 
1,User Name,root
1,Operating System,5.8.0-59-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.2 LTS"
1,Computer Name,alienware
1,Result Size,827066274
1,Collection start time,19:11:58 21/07/2021 UTC
1,Collection stop time,19:12:27 21/07/2021 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Cometlake H/S
2,Frequency,3695998418
2,Logical CPU Count,20
2,Max DRAM Single-Package Bandwidth,41000000000.000000
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
